"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41464.446809";"Average speed (GPS)";"0.0410328507964774";"mph";"39.35621184";"-94.23129277";
"41464.446809";"Speed (GPS)";"1.01639432519269";"mph";"39.35621184";"-94.23129277";
"41464.511809";"Average speed";"0";"mph";"39.35621184";"-94.23129277";
"41464.511809";"Distance travelled";"0";"miles";"39.35621184";"-94.23129277";
"41464.511809";"Distance travelled (total)";"0";"miles";"39.35621184";"-94.23129277";
"41464.511809";"Vehicle acceleration";"0";"m/s²";"39.35621184";"-94.23129277";
"41464.511809";"Vehicle speed";"0";"mph";"39.35621184";"-94.23129277";
"41464.967809";"Average speed";"0";"mph";"39.35621184";"-94.23129277";
"41464.967809";"Distance travelled";"0";"miles";"39.35621184";"-94.23129277";
"41464.967809";"Distance travelled (total)";"0";"miles";"39.35621184";"-94.23129277";
"41464.967809";"Vehicle acceleration";"0";"m/s²";"39.35621184";"-94.23129277";
"41464.967809";"Vehicle speed";"0";"mph";"39.35621184";"-94.23129277";
"41465.017809";"Altitude (GPS)";"878.280807926025";"feet";"39.356132";"-94.2314279";
"41465.018809";"Altitude (GPS)";"878.280807926025";"feet";"39.356132";"-94.2314279";
"41465.018809";"Altitude (GPS)";"878.280807926025";"feet";"39.356132";"-94.2314279";
"41465.018809";"Average speed (GPS)";"0.038071153115247";"mph";"39.356132";"-94.2314279";
"41465.018809";"Average speed (GPS)";"0.0380703563268769";"mph";"39.356132";"-94.2314279";
"41465.018809";"Speed (GPS)";"0";"mph";"39.356132";"-94.2314279";
"41465.018809";"Speed (GPS)";"0";"mph";"39.356132";"-94.2314279";
"41465.413809";"Average speed";"0";"mph";"39.356132";"-94.2314279";
"41465.413809";"Distance travelled";"0";"miles";"39.356132";"-94.2314279";
"41465.413809";"Distance travelled (total)";"0";"miles";"39.356132";"-94.2314279";
"41465.413809";"Vehicle acceleration";"0";"m/s²";"39.356132";"-94.2314279";
"41465.413809";"Vehicle speed";"0";"mph";"39.356132";"-94.2314279";
"41465.435809";"Altitude (GPS)";"835.761950546875";"feet";"39.35620664";"-94.23129704";
"41465.436809";"Altitude (GPS)";"835.761950546875";"feet";"39.35620664";"-94.23129704";
"41465.436809";"Average speed (GPS)";"0.0361667906322973";"mph";"39.35620664";"-94.23129704";
"41465.436809";"Speed (GPS)";"0";"mph";"39.35620664";"-94.23129704";
"41465.914809";"Average speed";"0";"mph";"39.35620664";"-94.23129704";
"41465.914809";"Distance travelled";"0";"miles";"39.35620664";"-94.23129704";
"41465.914809";"Distance travelled (total)";"0";"miles";"39.35620664";"-94.23129704";
"41465.914809";"Vehicle acceleration";"0";"m/s²";"39.35620664";"-94.23129704";
"41465.914809";"Vehicle speed";"0";"mph";"39.35620664";"-94.23129704";
"41466.083809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562018";"-94.2314268";
"41466.085809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562018";"-94.2314268";
"41466.085809";"Average speed (GPS)";"0.033558490950637";"mph";"39.3562018";"-94.2314268";
"41466.085809";"Average speed (GPS)";"0.0335560706453701";"mph";"39.3562018";"-94.2314268";
"41466.085809";"Speed (GPS)";"0";"mph";"39.3562018";"-94.2314268";
"41466.085809";"Speed (GPS)";"0";"mph";"39.3562018";"-94.2314268";
"41466.086809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562018";"-94.2314268";
"41466.087809";"Altitude (GPS)";"866.551265040255";"feet";"39.3562018";"-94.2314268";
"41466.087809";"Altitude (GPS)";"866.551265040255";"feet";"39.3562018";"-94.2314268";
"41466.087809";"Average speed (GPS)";"0.0337267464585359";"mph";"39.3562018";"-94.2314268";
"41466.087809";"Average speed (GPS)";"0.0337498367719252";"mph";"39.3562018";"-94.2314268";
"41466.087809";"Speed (GPS)";"1.14505130560294";"mph";"39.3562018";"-94.2314268";
"41466.087809";"Speed (GPS)";"1.14505130560294";"mph";"39.3562018";"-94.2314268";
"41466.410809";"Average speed";"0";"mph";"39.3562018";"-94.2314268";
"41466.410809";"Distance travelled";"0";"miles";"39.3562018";"-94.2314268";
"41466.410809";"Distance travelled (total)";"0";"miles";"39.3562018";"-94.2314268";
"41466.410809";"Vehicle acceleration";"0";"m/s²";"39.3562018";"-94.2314268";
"41466.410809";"Vehicle speed";"0";"mph";"39.3562018";"-94.2314268";
"41466.432809";"Altitude (GPS)";"833.324749396973";"feet";"39.35620725";"-94.2312981";
"41466.846809";"Average speed";"0";"mph";"39.35620725";"-94.2312981";
"41466.846809";"Distance travelled";"0";"miles";"39.35620725";"-94.2312981";
"41466.846809";"Distance travelled (total)";"0";"miles";"39.35620725";"-94.2312981";
"41466.846809";"Vehicle acceleration";"0";"m/s²";"39.35620725";"-94.2312981";
"41466.846809";"Vehicle speed";"0";"mph";"39.35620725";"-94.2312981";
